
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1324
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       1972
  TCP    0.0.0.0:8834           0.0.0.0:0              LISTENING       5660
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       828
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       948
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       2236
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2848
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3772
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       784
  TCP    10.22.132.161:139      0.0.0.0:0              LISTENING       4
  TCP    10.22.132.161:7337     52.175.141.53:443      ESTABLISHED     17972
  TCP    10.22.132.161:14260    20.189.173.15:443      ESTABLISHED     12612
  TCP    10.22.132.161:24066    140.82.113.26:443      ESTABLISHED     12612
  TCP    10.22.132.161:24098    54.254.164.163:443     ESTABLISHED     12612
  TCP    10.22.132.161:31597    172.188.155.25:443     ESTABLISHED     12612
  TCP    10.22.132.161:33822    18.245.60.3:443        ESTABLISHED     12612
  TCP    10.22.132.161:39375    13.32.121.24:443       ESTABLISHED     12612
  TCP    10.22.132.161:59880    20.190.144.161:443     ESTABLISHED     1188
  TCP    127.0.0.1:49697        127.0.0.1:49698        ESTABLISHED     5660
  TCP    127.0.0.1:49698        127.0.0.1:49697        ESTABLISHED     5660
  TCP    127.0.0.1:49703        127.0.0.1:49704        ESTABLISHED     5660
  TCP    127.0.0.1:49704        127.0.0.1:49703        ESTABLISHED     5660
  TCP    192.168.56.1:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.251.1:139      0.0.0.0:0              LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       1324
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:8834              [::]:0                 LISTENING       5660
  TCP    [::]:49664             [::]:0                 LISTENING       828
  TCP    [::]:49665             [::]:0                 LISTENING       948
  TCP    [::]:49666             [::]:0                 LISTENING       2236
  TCP    [::]:49667             [::]:0                 LISTENING       2848
  TCP    [::]:49668             [::]:0                 LISTENING       3772
  TCP    [::]:49669             [::]:0                 LISTENING       784
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:6089  [2a06:98c1:3107::6812:2715]:443  ESTABLISHED     12612
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:33824  [2600:1417:8400:31::17ce:cb4e]:443  ESTABLISHED     16680
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:40332  [2a03:2880:f242:1c2:face:b00c:0:167]:443  ESTABLISHED     12612
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:41474  [2606:4700:4407::ac40:92d7]:443  ESTABLISHED     12612
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:43785  [2603:1040:a03:9::1ab]:443  ESTABLISHED     11460
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:47639  [2603:1040:a06:6::1]:443  ESTABLISHED     4168
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:54464  [2606:4700:20::681a:8ef]:443  ESTABLISHED     12612
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:54908  [2620:1ec:33::11]:443  ESTABLISHED     12612
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:59875  [2a03:2880:f379:120:face:b00c:0:167]:5222  ESTABLISHED     15292
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:59881  [2603:1046:c0b:44::2]:443  ESTABLISHED     22220
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:59882  [2603:1046:c0b:44::2]:443  ESTABLISHED     22220
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:63274  [2603:1040:a06:6::1]:443  ESTABLISHED     4168
  TCP    [2401:4900:7c87:9bd7:6921:9024:3f64:6168]:63910  [2603:1061:1600:2910::365:c0]:443  ESTABLISHED     4464
  UDP    0.0.0.0:123            *:*                                    8792
  UDP    0.0.0.0:500            *:*                                    4152
  UDP    0.0.0.0:4500           *:*                                    4152
  UDP    0.0.0.0:5050           *:*                                    1972
  UDP    0.0.0.0:5353           *:*                                    12612
  UDP    0.0.0.0:5353           *:*                                    12612
  UDP    0.0.0.0:5353           *:*                                    12652
  UDP    0.0.0.0:5353           *:*                                    12652
  UDP    0.0.0.0:5353           *:*                                    12652
  UDP    0.0.0.0:5353           *:*                                    12652
  UDP    0.0.0.0:5353           *:*                                    12652
  UDP    0.0.0.0:5353           *:*                                    2168
  UDP    0.0.0.0:5353           *:*                                    12612
  UDP    0.0.0.0:5353           *:*                                    12652
  UDP    0.0.0.0:5353           *:*                                    12612
  UDP    0.0.0.0:5353           *:*                                    12612
  UDP    0.0.0.0:5353           *:*                                    12612
  UDP    0.0.0.0:5355           *:*                                    2168
  UDP    0.0.0.0:50087          *:*                                    17972
  UDP    0.0.0.0:51435          13.127.99.68:443                       12612
  UDP    0.0.0.0:52879          *:*                                    2168
  UDP    0.0.0.0:62735          *:*                                    2168
  UDP    10.22.132.161:137      *:*                                    4
  UDP    10.22.132.161:138      *:*                                    4
  UDP    10.22.132.161:1900     *:*                                    5736
  UDP    10.22.132.161:49983    *:*                                    5736
  UDP    127.0.0.1:1900         *:*                                    5736
  UDP    127.0.0.1:49984        *:*                                    5736
  UDP    127.0.0.1:55924        127.0.0.1:55924                        4144
  UDP    192.168.56.1:137       *:*                                    4
  UDP    192.168.56.1:138       *:*                                    4
  UDP    192.168.56.1:1900      *:*                                    5736
  UDP    192.168.56.1:49982     *:*                                    5736
  UDP    192.168.251.1:137      *:*                                    4
  UDP    192.168.251.1:138      *:*                                    4
  UDP    192.168.251.1:1900     *:*                                    5736
  UDP    192.168.251.1:49981    *:*                                    5736
  UDP    [::]:123               *:*                                    8792
  UDP    [::]:500               *:*                                    4152
  UDP    [::]:4500              *:*                                    4152
  UDP    [::]:5353              *:*                                    12652
  UDP    [::]:5353              *:*                                    12612
  UDP    [::]:5353              *:*                                    12652
  UDP    [::]:5353              *:*                                    12612
  UDP    [::]:5353              *:*                                    2168
  UDP    [::]:5353              *:*                                    12652
  UDP    [::]:5353              *:*                                    12612
  UDP    [::]:5355              *:*                                    2168
  UDP    [::]:50087             *:*                                    17972
  UDP    [::]:52879             *:*                                    2168
  UDP    [::]:62735             *:*                                    2168
  UDP    [::1]:1900             *:*                                    5736
  UDP    [::1]:49980            *:*                                    5736
  UDP    [fe80::2998:4235:9267:fa4a%2]:1900  *:*                                    5736
  UDP    [fe80::2998:4235:9267:fa4a%2]:49978  *:*                                    5736
  UDP    [fe80::45df:2d77:e5a6:e9e9%18]:1900  *:*                                    5736
  UDP    [fe80::45df:2d77:e5a6:e9e9%18]:49977  *:*                                    5736
  UDP    [fe80::8f74:46b2:9fdd:1a73%17]:1900  *:*                                    5736
  UDP    [fe80::8f74:46b2:9fdd:1a73%17]:49979  *:*                                    5736
